id,sexo,edad,nivel,region,zona,tipo_establecimiento,rendimiento_promedio,rendimiento_matematicas,rendimiento_lenguaje,repitencia,trabaja,horas_trabajo_semana,particip_extraescolar,acceso_internet_hogar,nivel_ses,estructura_familiar,tiempo_traslado_min,apoyo_psicopedagogico,ema_i01,ema_i02,ema_i03,ema_i04,ema_i05,ema_i06,ema_i07,ema_i08,ema_i09,ema_i10,ema_i11,ema_i12,ema_i13,ema_i14,ema_i15,ema_i16,ema_i17,ema_i18,ema_intrinseca,ema_extrinseca,ema_desmotivacion,ema_total,eaa_i01,eaa_i02,eaa_i03,eaa_i04,eaa_i05,eaa_i06,eaa_i07,eaa_i08,eaa_i09,eaa_i10,eaa_i11,eaa_i12,eaa_i13,eaa_i14,eaa_tareas,eaa_social,eaa_total,ece_i01,ece_i02,ece_i03,ece_i04,ece_i05,ece_i06,ece_i07,ece_i08,ece_i09,ece_i10,ece_i11,ece_i12,ece_i13,ece_i14,ece_i15,ece_i16,ece_docente,ece_pares,ece_institucional,ece_total,iesa_i01,iesa_i02,iesa_i03,iesa_i04,iesa_i05,iesa_i06,iesa_i07,iesa_i08,iesa_i09,iesa_i10,iesa_i11,iesa_i12,iesa_evaluativo,iesa_carga,iesa_total
EDU-001,Mujer,17,2° Medio,RM,Urbano,Municipal,6.6,6.8,6.7,No,No,0,Sí,Sí,Bajo,Biparental,5,Sí,4,4,4,4,3,4,3,1,3,3,3,3,1,1,1,1,1,1,3.8333333333333335,2.6666666666666665,1,2.5,4,4,4,3,4,2,4,2,2,2,2,2,2,3,3.5714285714285716,2.142857142857143,2.857142857142857,2,2,1,3,3,3,3,4,2,3,2,3,2,2,2,2,2.3333333333333335,2.8,2.2,2.4375,3,2,1,1,3,2,3,1,1,2,2,1,2,1.6666666666666667,1.8333333333333333
EDU-002,Mujer,17,3° Medio,RM,Urbano,Municipal,7,7,7,Sí,Sí,8,Sí,Sí,Alto,Monoparental,7,No,2,1,2,2,3,4,4,3,3,3,3,3,1,2,2,1,1,1,2.3333333333333335,3.1666666666666665,1.3333333333333333,2.2777777777777777,4,4,4,4,4,4,4,3,4,4,4,3,2,3,4,3.2857142857142856,3.642857142857143,3,4,3,3,4,3,4,4,3,3,3,3,2,4,2,3,3.3333333333333335,3.4,2.8,3.1875,1,1,1,1,1,2,2,1,2,1,2,2,1.1666666666666667,1.6666666666666667,1.4166666666666667
EDU-003,Mujer,14,2° Medio,RM,Urbano,Part. Subvencionado,3.6,4.4,2.6,No,No,0,Sí,Sí,Medio,Monoparental,16,No,3,3,3,3,3,3,3,1,2,2,3,3,2,2,2,2,4,2,3,2.3333333333333335,2.3333333333333335,2.5555555555555554,3,3,2,3,3,3,3,2,2,2,2,2,3,1,2.857142857142857,2,2.4285714285714284,3,3,3,2,4,3,1,4,2,2,2,3,3,2,1,1,3,2.2,2,2.4375,3,3,2,3,2,1,1,1,1,1,1,1,2.3333333333333335,1,1.6666666666666667
EDU-004,Mujer,16,3° Medio,RM,Urbano,Municipal,5.4,4.9,3.9,No,Sí,13,Sí,Sí,Medio,Extendida,19,Sí,2,2,2,2,2,3,2,2,1,2,1,1,1,2,1,2,2,3,2.1666666666666665,1.5,1.8333333333333333,1.8333333333333333,2,2,2,2,2,2,1,2,2,3,3,2,2,3,1.8571428571428572,2.4285714285714284,2.142857142857143,2,2,2,2,2,1,2,2,3,3,2,2,2,2,2,2,1.8333333333333333,2.4,2,2.0625,2,2,2,3,3,3,2,2,2,2,2,3,2.5,2.1666666666666665,2.3333333333333335
EDU-005,Otro,18,4° Medio,Valparaíso,Rural,Part. Subvencionado,3.9,2.5,3.1,No,No,0,Sí,Sí,Bajo,Extendida,26,Sí,1,2,2,1,2,2,1,1,2,2,1,3,3,4,4,4,3,4,1.6666666666666667,1.6666666666666667,3.6666666666666665,2.3333333333333335,2,3,3,3,2,3,2,4,4,3,3,3,4,3,2.5714285714285716,3.4285714285714284,3,2,3,3,3,2,3,2,3,1,2,3,1,3,1,2,2,2.6666666666666665,2.2,1.8,2.25,2,2,3,2,2,3,1,3,2,3,1,2,2.3333333333333335,2,2.1666666666666665
EDU-006,Mujer,14,3° Medio,RM,Urbano,Part. Subvencionado,5.4,5.4,6.2,No,No,0,Sí,Sí,Bajo,Biparental,59,Sí,2,3,2,4,4,2,2,2,2,2,1,3,2,2,2,2,1,1,2.8333333333333335,2,1.6666666666666667,2.1666666666666665,4,3,3,3,3,3,4,2,3,3,3,3,2,2,3.2857142857142856,2.5714285714285716,2.9285714285714284,2,2,2,3,3,3,4,3,3,2,3,2,2,2,2,2,2.5,3,2,2.5,3,2,2,2,3,3,3,3,2,3,3,2,2.5,2.6666666666666665,2.5833333333333335
EDU-007,Mujer,15,4° Medio,RM,Urbano,Part. Subvencionado,6.2,6.7,5.7,Sí,No,0,No,Sí,Medio,Extendida,22,Sí,2,3,2,1,3,3,3,2,2,3,2,1,2,3,1,2,2,2,2.3333333333333335,2.1666666666666665,2,2.1666666666666665,4,3,2,2,2,3,3,3,3,3,3,2,3,3,2.7142857142857144,2.857142857142857,2.7857142857142856,3,3,3,4,4,3,2,3,1,2,2,3,2,3,3,3,3.3333333333333335,2,2.8,2.75,3,3,3,4,3,3,2,1,3,1,1,2,3.1666666666666665,1.6666666666666667,2.4166666666666665
EDU-008,Hombre,14,3° Medio,Valparaíso,Urbano,Municipal,5.8,5.8,5.2,No,No,0,Sí,Sí,Medio,Biparental,5,No,4,4,4,3,3,3,4,2,3,2,4,3,1,1,1,2,2,3,3.5,3,1.6666666666666667,2.7222222222222223,2,3,3,4,3,3,3,3,3,2,2,3,2,3,3,2.5714285714285716,2.7857142857142856,1,2,2,2,2,2,2,2,3,1,3,3,2,2,2,2,1.8333333333333333,2.2,2.2,2.0625,4,2,2,1,3,4,3,3,3,2,3,2,2.6666666666666665,2.6666666666666665,2.6666666666666665
EDU-009,Mujer,15,4° Medio,Biobío,Urbano,Municipal,4.2,3.5,4.6,No,Sí,22,Sí,No,Bajo,Otra,15,No,1,2,2,1,1,1,2,4,2,3,3,3,2,3,1,2,1,4,1.3333333333333333,2.8333333333333335,2.1666666666666665,2.111111111111111,4,4,3,3,3,3,3,4,2,3,3,3,4,4,3.2857142857142856,3.2857142857142856,3.2857142857142856,2,2,2,2,2,1,1,2,1,1,3,2,2,2,2,1,1.8333333333333333,1.6,1.8,1.75,4,4,3,3,3,2,3,3,4,3,3,3,3.1666666666666665,3.1666666666666665,3.1666666666666665
EDU-010,Hombre,17,1° Medio,RM,Urbano,Part. Subvencionado,4.7,4.7,4.6,Sí,No,0,No,Sí,Bajo,Biparental,5,No,2,1,1,3,2,3,3,3,2,2,3,2,3,2,3,2,2,2,2,2.5,2.3333333333333335,2.2777777777777777,2,3,2,3,1,2,1,4,3,2,2,2,2,1,2,2.2857142857142856,2.142857142857143,2,2,2,3,2,2,2,1,1,1,2,2,1,1,1,1,2.1666666666666665,1.4,1.2,1.625,2,2,2,3,2,2,2,2,3,2,2,2,2.1666666666666665,2.1666666666666665,2.1666666666666665
