id,sexo,edad,region_origen,primera_generacion_universitaria,carrera,ano_carrera,promedio_acumulado,creditos_semestre,trabaja,horas_trabajo_semana,tipo_beca,vive_con_familia,distancia_universidad,uso_apoyo_psicologico,satisfaccion_carrera,horas_estudio_semana,actividades_extracurriculares,ere_i01,ere_i02,ere_i03,ere_i04,ere_i05,ere_i06,ere_i07,ere_i08,ere_i09,ere_i10,ere_i11,ere_i12,ere_i13,ere_i14,ere_i15,ere_i16,ere_reevaluacion,ere_supresion,ere_total,eag_i01,eag_i02,eag_i03,eag_i04,eag_i05,eag_i06,eag_i07,eag_i08,eag_i09,eag_i10,eag_i11,eag_i12,eag_i13,eag_i14,eag_conductual,eag_cognitiva,eag_total,epa_i01,epa_i02,epa_i03,epa_i04,epa_i05,epa_i06,epa_i07,epa_i08,epa_i09,epa_i10,epa_i11,epa_i12,epa_postergacion_tareas,epa_postergacion_decisiones,epa_total,cbu_i01,cbu_i02,cbu_i03,cbu_i04,cbu_i05,cbu_i06,cbu_i07,cbu_i08,cbu_i09,cbu_i10,cbu_i11,cbu_i12,cbu_i13,cbu_i14,cbu_i15,cbu_i16,cbu_i17,cbu_i18,cbu_emocional,cbu_vinculacion,cbu_satisfaccion_vital,cbu_total
INV-001,Mujer,23,Extranjero,No,Enfermería,1°,6.7,NA,No,0,Gratuidad,Sí,Local,No,4,31,No,3,3,4,4,2,4,4,2,3,3,2,2,3,2,3,3,3.25,2.625,2.9375,3,2,3,3,4,3,2,3,4,3,3,4,3,4,2.857142857142857,3.4285714285714284,3.142857142857143,3,2,3,2,3,3,2,2,2,2,3,3,2.6666666666666665,2.3333333333333335,2.5,3,4,3,3,4,3,3,2,3,4,3,2,2,3,2,1,2,3,3.3333333333333335,2.8333333333333335,2.1666666666666665,2.7777777777777777
INV-002,Otro,19,Región centro,No,Psicología,3°,6.6,52,Sí,18,Sin beca,Sí,Local,No,4,25,No,3,3,3,3,3,3,4,3,4,1,2,2,4,3,2,3,3.125,2.625,2.875,4,4,4,4,3,3,4,3,4,3,2,3,4,4,3.7142857142857144,3.2857142857142856,3.5,1,1,1,1,1,2,2,2,2,2,1,1,1.1666666666666667,1.6666666666666667,1.4166666666666667,3,4,4,4,4,4,3,3,3,3,2,3,4,2,3,3,4,3,3.8333333333333335,2.8333333333333335,3.1666666666666665,3.2777777777777777
INV-003,Mujer,20,RM,Sí,Trabajo Social,1°,3.1,60,Sí,4,Otra beca,No,Local,No,1,10,No,2,1,1,1,1,1,1,2,2,4,3,3,3,2,2,2,1.25,2.625,1.9375,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1.1428571428571428,1.2857142857142858,1.2142857142857142,4,4,3,4,3,3,3,3,3,4,3,4,3.5,3.3333333333333335,3.4166666666666665,1,2,2,2,2,2,3,3,2,3,2,2,2,2,1,2,2,2,1.8333333333333333,2.5,1.8333333333333333,2.0555555555555554
INV-004,Mujer,20,Extranjero,Sí,Enfermería,2°,5.3,52,No,0,Sin beca,No,Local,Sí,4,10,Sí,3,2,2,2,2,4,2,3,3,4,3,4,4,4,4,2,2.5,3.5,3,2,4,4,4,3,2,3,3,3,2,3,3,3,2,3.142857142857143,2.7142857142857144,2.9285714285714284,2,3,3,2,3,3,2,2,2,3,2,3,2.6666666666666665,2.3333333333333335,2.5,3,3,4,3,4,4,4,3,4,3,3,3,3,4,4,3,3,3,3.5,3.3333333333333335,3.3333333333333335,3.388888888888889
INV-005,Hombre,21,Región centro,No,Otra,2°,6.5,NA,No,0,Beca excelencia,No,Local,No,4,40,No,1,2,1,2,2,2,2,2,2,3,4,2,2,3,3,2,1.75,2.625,2.1875,4,3,3,4,3,4,3,3,2,4,3,3,3,3,3.4285714285714284,3,3.2142857142857144,1,2,1,1,2,3,2,2,2,2,2,2,1.6666666666666667,2,1.8333333333333333,3,4,3,3,3,4,2,3,2,3,2,2,4,3,3,3,3,4,3.3333333333333335,2.3333333333333335,3.3333333333333335,3
INV-006,Mujer,23,Región centro,No,Educación,3°,6.3,35,No,0,Otra beca,Sí,Desplazado/a,Sí,3,7,Sí,3,3,2,2,2,1,3,3,4,4,3,3,3,4,2,3,2.375,3.25,2.8125,3,2,3,3,2,3,3,2,1,2,3,2,4,4,2.7142857142857144,2.5714285714285716,2.642857142857143,2,3,2,1,2,2,2,4,1,3,2,1,2,2.1666666666666665,2.0833333333333335,2,4,2,2,3,3,3,1,2,2,2,2,2,3,3,3,1,2,2.6666666666666665,2,2.3333333333333335,2.3333333333333335
INV-007,Hombre,21,RM,Sí,Psicología,2°,4.7,31,No,0,Gratuidad,Sí,Desplazado/a,No,3,31,Sí,1,2,1,2,2,2,1,2,2,2,1,1,3,2,2,3,1.625,2,1.8125,2,3,1,1,2,1,1,2,1,2,2,2,2,2,1.5714285714285714,1.8571428571428572,1.7142857142857142,4,4,4,3,4,4,4,4,3,3,4,3,3.8333333333333335,3.5,3.6666666666666665,3,3,3,3,4,3,3,3,2,2,2,2,2,3,2,2,2,1,3.1666666666666665,2.3333333333333335,2,2.5
INV-008,Hombre,20,RM,No,Psicología,1°,4.2,49,Sí,24,Gratuidad,No,Desplazado/a,Sí,2,18,No,3,4,3,3,4,2,3,3,2,3,3,2,2,1,2,2,3.125,2.125,2.625,2,2,2,1,1,2,2,1,2,2,2,2,2,3,1.7142857142857142,2,1.8571428571428572,2,1,1,2,2,1,3,4,2,2,3,2,1.5,2.6666666666666665,2.0833333333333335,3,2,2,3,2,2,1,2,2,1,2,2,2,3,2,3,2,2,2.3333333333333335,1.6666666666666667,2.3333333333333335,2.111111111111111
INV-009,Mujer,22,RM,No,Trabajo Social,4°,4.5,45,No,0,Beca excelencia,Sí,Local,Sí,5,32,No,2,1,1,1,2,2,1,1,1,2,2,1,3,2,2,3,1.375,2,1.6875,4,4,3,3,2,3,4,3,4,3,3,3,4,2,3.2857142857142856,3.142857142857143,3.2142857142857144,1,1,2,1,1,3,2,1,2,1,2,2,1.5,1.6666666666666667,1.5833333333333333,4,2,4,4,4,3,3,4,4,3,3,4,3,3,4,4,4,3,3.5,3.5,3.5,3.5
INV-010,Hombre,21,Región sur,Sí,Psicología,4°,4.9,51,Sí,10,Otra beca,No,Desplazado/a,No,2,27,No,2,1,2,2,1,2,2,2,3,3,2,3,4,3,3,3,1.75,3,2.375,2,2,3,3,2,2,2,4,3,4,3,3,3,3,2.2857142857142856,3.2857142857142856,2.7857142857142856,1,2,1,1,3,1,3,2,1,1,2,2,1.5,1.8333333333333333,1.6666666666666667,2,3,3,2,3,2,3,1,3,2,2,2,1,1,1,1,2,2,2.5,2.1666666666666665,1.3333333333333333,2
