id,sexo,edad,nivel_educacional,estado_civil,n_hijos,region,area,nivel_cargo,modalidad_trabajo,antiguedad_anos,tipo_contrato,horas_semanales,ingreso_tramo,capacitacion_ultimo_ano,evaluacion_desempeno,beneficios_empresa,turno,ebl_i01,ebl_i02,ebl_i03,ebl_i04,ebl_i05,ebl_i06,ebl_i07,ebl_i08,ebl_i09,ebl_i10,ebl_i11,ebl_i12,ebl_i13,ebl_i14,ebl_i15,ebl_i16,ebl_i17,ebl_i18,ebl_agotamiento,ebl_cinismo,ebl_baja_eficacia,ebl_total,csl_i01,csl_i02,csl_i03,csl_i04,csl_i05,csl_i06,csl_i07,csl_i08,csl_i09,csl_i10,csl_i11,csl_i12,csl_i13,csl_i14,csl_i15,csl_i16,csl_tarea,csl_contexto,csl_total,elp_i01,elp_i02,elp_i03,elp_i04,elp_i05,elp_i06,elp_i07,elp_i08,elp_i09,elp_i10,elp_i11,elp_i12,elp_i13,elp_i14,elp_transformacional,elp_transaccional,elp_total,eir_i01,eir_i02,eir_i03,eir_i04,eir_i05,eir_i06,eir_i07,eir_i08,eir_i09,eir_i10,eir_intencion_salida,eir_busqueda_alternativas,eir_total
LAB-001,Hombre,26,Universitario,Casado/a,3,Otra,Operaciones,Jefatura,Híbrido,4,Indefinido,47,Medio,Sí,3.5,Intermedios,Diurno,2,2,2,1,2,3,2,2,1,1,2,1,3,2,2,1,3,2,2,1.5,2.1666666666666665,1.8888888888888888,2,3,3,4,2,2,3,2,3,4,4,3,4,4,3,3,2.625,3.5,3.0625,3,3,3,2,2,1,3,2,2,2,2,2,2,3,2.4285714285714284,2.142857142857143,2.2857142857142856,3,2,4,4,3,2,3,2,2,3,3.2,2.4,2.8
LAB-002,Mujer,25,Postgrado,Soltero/a,0,Valparaíso,Operaciones,Jefatura,Híbrido,1,Plazo fijo,39,Medio,No,3.5,Básicos,Rotativo,1,1,2,3,2,3,1,3,1,2,2,2,3,2,1,3,2,2,2,1.8333333333333333,2.1666666666666665,2,3,3,3,3,2,3,4,4,2,3,2,3,3,3,2,2,3.125,2.5,2.8125,1,1,2,2,2,3,1,3,2,2,2,3,3,1,1.7142857142857142,2.2857142857142856,2,4,4,3,3,2,3,3,4,2,4,3.2,3.2,3.2
LAB-003,Hombre,50,Técnico,Soltero/a,2,RM,TI,Jefatura,Presencial,3,Indefinido,37,Bajo,No,3.2,Básicos,Rotativo,4,3,3,4,3,2,3,4,3,2,2,3,3,3,2,3,3,3,3.1666666666666665,2.8333333333333335,2.8333333333333335,2.9444444444444446,1,2,1,2,3,3,1,4,3,2,4,2,2,2,3,2,2.125,2.5,2.3125,3,3,4,2,3,3,2,3,2,4,3,3,2,2,2.857142857142857,2.7142857142857144,2.7857142857142856,3,2,3,2,2,2,3,3,3,2,2.4,2.6,2.5
LAB-004,Hombre,35,Postgrado,Casado/a,2,RM,Producción,Profesional,Presencial,4,Indefinido,55,Alto,Sí,2.5,Completos,Rotativo,3,2,3,4,4,2,3,3,4,1,2,3,4,2,3,3,3,3,3,2.6666666666666665,3,2.888888888888889,3,3,3,2,2,4,3,2,2,3,4,2,3,3,3,2,2.75,2.75,2.75,4,3,3,3,3,3,3,3,3,4,3,3,4,4,3.142857142857143,3.4285714285714284,3.2857142857142856,4,2,2,2,1,3,3,3,2,3,2.2,2.8,2.5
LAB-005,Mujer,43,Universitario,Casado/a,2,RM,Comercial,Profesional,Híbrido,14,Indefinido,60,Medio,Sí,NA,Básicos,Diurno,3,3,3,3,3,2,2,1,2,2,2,1,2,1,3,3,2,2,2.8333333333333335,1.6666666666666667,2.1666666666666665,2.2222222222222223,2,4,3,4,4,4,3,2,3,2,2,2,3,2,4,3,3.25,2.625,2.9375,2,1,2,3,2,3,3,3,3,3,3,3,2,3,2.2857142857142856,2.857142857142857,2.5714285714285716,3,3,2,2,2,2,2,2,2,2,2.4,2,2.2
LAB-006,Hombre,35,Técnico,Casado/a,1,RM,RRHH,Jefatura,Híbrido,1,Indefinido,46,Bajo,Sí,4.3,Intermedios,Diurno,2,3,1,1,2,2,2,1,1,3,1,1,2,2,2,1,2,3,1.8333333333333333,1.5,2,1.7777777777777777,4,3,4,4,4,4,3,2,4,4,3,4,4,4,4,3,3.5,3.75,3.625,3,3,2,2,4,3,3,1,3,1,3,3,3,1,2.857142857142857,2.142857142857143,2.5,1,1,1,1,1,2,2,1,2,3,1,2,1.5
LAB-007,Mujer,40,Universitario,Soltero/a,2,RM,RRHH,Operativo,Remoto,11,Indefinido,37,Medio,Sí,4.2,Básicos,Diurno,1,1,1,1,1,3,1,1,2,2,1,2,2,1,1,2,1,1,1.3333333333333333,1.5,1.3333333333333333,1.3888888888888888,4,4,4,4,3,3,3,3,3,3,4,3,4,3,2,4,3.5,3.25,3.375,4,3,2,4,3,4,3,3,4,4,3,4,4,4,3.2857142857142856,3.7142857142857144,3.5,1,1,2,2,3,2,3,3,1,1,1.8,2,1.9
LAB-008,Hombre,33,Técnico,Separado/a,1,Otra,Operaciones,Operativo,Presencial,1,Plazo fijo,44,Medio,Sí,2.7,Intermedios,Diurno,3,3,2,1,2,1,2,1,2,1,2,1,2,2,1,3,2,3,2,1.5,2.1666666666666665,1.8888888888888888,4,2,3,3,3,2,3,3,2,3,3,4,3,3,3,4,2.875,3.125,3,2,2,2,3,3,1,3,2,2,2,2,2,3,2,2.2857142857142856,2.142857142857143,2.2142857142857144,3,3,2,2,2,3,3,2,3,3,2.4,2.8,2.6
LAB-009,Hombre,39,Universitario,Conviviente,3,RM,Finanzas,Operativo,Remoto,NA,Plazo fijo,52,Medio,No,2.2,Intermedios,Diurno,2,2,4,2,2,3,1,1,2,1,2,1,3,3,3,3,3,3,2.5,1.3333333333333333,3,2.2777777777777777,3,3,4,3,2,4,3,3,4,4,4,4,2,3,3,3,3.125,3.375,3.25,1,2,1,2,2,2,2,4,2,3,3,2,2,2,1.7142857142857142,2.5714285714285716,2.142857142857143,3,4,3,4,2,4,3,2,3,4,3.2,3.2,3.2
LAB-010,Hombre,38,Universitario,Casado/a,0,RM,Producción,Operativo,Presencial,5,Plazo fijo,43,Bajo,Sí,4.1,Intermedios,Diurno,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,1,1,2,1.5,1.6666666666666667,1.6666666666666667,1.6111111111111112,3,2,3,2,3,3,4,4,3,3,3,3,4,4,3,4,3,3.375,3.1875,3,2,3,4,4,2,4,3,2,3,3,3,3,2,3.142857142857143,2.7142857142857144,2.9285714285714284,1,1,1,1,1,1,1,1,1,1,1,1,1
