id,sexo,edad,nivel_educacional,estado_civil,n_hijos,region,tipo_organizacion,anos_residencia,tipo_zona,nivel_ses,acceso_servicios_basicos,victima_delito_anio,confianza_carabineros,confianza_municipio,anos_en_organizacion,cargo_directivo,actividad_laboral,migrante,acceso_areas_verdes,esc_i01,esc_i02,esc_i03,esc_i04,esc_i05,esc_i06,esc_i07,esc_i08,esc_i09,esc_i10,esc_i11,esc_i12,esc_i13,esc_i14,esc_i15,esc_i16,esc_pertenencia,esc_influencia,esc_total,ecs_i01,ecs_i02,ecs_i03,ecs_i04,ecs_i05,ecs_i06,ecs_i07,ecs_i08,ecs_i09,ecs_i10,ecs_i11,ecs_i12,ecs_i13,ecs_i14,ecs_i15,ecs_i16,ecs_i17,ecs_i18,ecs_redes_apoyo,ecs_confianza,ecs_normas_reciprocidad,ecs_total,ebc_i01,ebc_i02,ebc_i03,ebc_i04,ebc_i05,ebc_i06,ebc_i07,ebc_i08,ebc_i09,ebc_i10,ebc_i11,ebc_i12,ebc_i13,ebc_i14,ebc_satisfaccion_barrio,ebc_cohesion,ebc_total,cps_i01,cps_i02,cps_i03,cps_i04,cps_i05,cps_i06,cps_i07,cps_i08,cps_i09,cps_i10,cps_i11,cps_i12,cps_formal,cps_informal,cps_total
SC-001,Mujer,65,Técnico,Soltero/a,4,O'Higgins,Junta vecinos,2,Rural,Alto,Sí,No,5,4,5,No,Desempleado/a,No,Sí,4,3,4,4,3,4,4,4,4,4,3,4,3,3,4,2,3.75,3.375,3.5625,4,3,4,4,4,3,2,3,3,3,4,4,3,3,4,4,3,4,3.6666666666666665,3.1666666666666665,3.5,3.4444444444444446,4,3,3,4,3,3,3,3,3,3,4,4,3,4,3.2857142857142856,3.4285714285714284,3.357142857142857,3,3,4,3,4,2,3,4,3,3,4,4,3.1666666666666665,3.5,3.3333333333333335
SC-002,Mujer,22,Media,Separado/a,2,RM,Club deportivo,19,Urbano,Medio,Sí,Sí,4,4,2,No,Independiente,No,No,3,2,2,2,3,3,2,4,4,4,3,4,4,3,3,2,2.625,3.375,3,4,3,3,4,4,3,2,4,3,4,3,1,3,4,2,3,4,2,3.5,2.8333333333333335,3,3.111111111111111,4,4,2,3,4,3,3,4,2,3,3,3,3,3,3.2857142857142856,3,3.142857142857143,4,4,2,4,4,2,3,2,4,3,4,4,3.3333333333333335,3.3333333333333335,3.3333333333333335
SC-003,Mujer,80,Técnico,Separado/a,4,RM,Club deportivo,16,Rural,Alto,Sí,Sí,4,4,5,No,Jubilado/a,No,No,3,4,3,2,3,4,3,2,2,2,2,3,2,2,2,2,3,2.125,2.5625,3,3,3,2,3,3,3,3,1,2,3,3,1,2,1,3,2,1,2.8333333333333335,2.5,1.6666666666666667,2.3333333333333335,3,4,3,3,3,3,4,4,3,4,4,3,3,3,3.2857142857142856,3.4285714285714284,3.357142857142857,4,3,3,3,3,3,1,1,1,2,2,1,3.1666666666666665,1.3333333333333333,2.25
SC-004,Hombre,41,Media,Casado/a,2,Valparaíso,Club deportivo,4,Semi-rural,Bajo,Sí,No,3,2,13,No,Desempleado/a,No,No,3,4,2,3,2,2,2,3,3,2,3,2,2,1,2,2,2.625,2.125,2.375,3,3,4,2,4,4,3,2,3,3,2,2,2,2,2,2,3,1,3.3333333333333335,2.5,2,2.611111111111111,4,4,3,3,4,3,2,3,3,3,3,4,4,2,3.2857142857142856,3.142857142857143,3.2142857142857144,1,2,1,2,1,2,2,3,2,2,3,2,1.5,2.3333333333333335,1.9166666666666667
SC-005,Mujer,42,Media,Viudo/a,1,O'Higgins,Cooperativa,50,Semi-rural,Medio,Sí,Sí,3,4,12,No,Empleado/a,No,Sí,3,1,3,3,2,3,2,3,2,3,3,3,4,3,2,2,2.5,2.75,2.625,3,3,3,4,3,3,4,4,3,3,3,4,3,4,3,2,3,3,3.1666666666666665,3.5,3,3.2222222222222223,3,3,2,4,4,3,2,3,3,2,2,2,2,2,3,2.2857142857142856,2.642857142857143,1,3,3,2,1,3,1,1,1,2,1,2,2.1666666666666665,1.3333333333333333,1.75
SC-006,Mujer,27,Media,Casado/a,3,RM,Org. social,1,Urbano,Bajo,Sí,No,4,5,4,No,Labores hogar,No,No,3,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,3.75,3.75,3.75,3,3,3,3,3,2,3,4,2,2,2,2,3,4,2,3,4,3,2.8333333333333335,2.5,3.1666666666666665,2.8333333333333335,2,3,2,3,3,3,3,2,3,3,3,3,3,2,2.7142857142857144,2.7142857142857144,2.7142857142857144,3,3,4,3,3,2,4,4,4,4,4,4,3,4,3.5
SC-007,Mujer,48,Media,Soltero/a,2,RM,Cooperativa,14,Urbano,Bajo,No,No,2,3,1,No,Jubilado/a,No,Sí,3,2,3,3,2,3,2,2,3,3,2,2,3,2,3,2,2.5,2.5,2.5,3,3,2,3,3,2,3,2,2,3,3,3,4,3,4,2,3,2,2.6666666666666665,2.6666666666666665,3,2.7777777777777777,3,3,4,4,3,3,2,3,4,3,3,4,4,1,3.142857142857143,3.142857142857143,3.142857142857143,2,2,3,2,2,2,1,1,1,1,2,1,2.1666666666666665,1.1666666666666667,1.6666666666666667
SC-008,Hombre,45,Media,Soltero/a,2,RM,Junta vecinos,18,Urbano,Medio,No,Sí,4,2,1,No,Independiente,No,Sí,3,4,2,3,2,1,2,2,2,3,3,3,3,2,3,2,2.375,2.625,2.5,4,4,2,3,3,3,2,2,1,3,2,4,3,3,2,3,3,4,3.1666666666666665,2.3333333333333335,3,2.8333333333333335,2,1,2,2,2,4,1,2,4,2,4,2,3,3,2,2.857142857142857,2.4285714285714284,4,3,4,3,4,4,2,2,3,3,4,3,3.6666666666666665,2.8333333333333335,3.25
SC-009,Mujer,47,Universitario,Separado/a,2,RM,Junta vecinos,2,Urbano,Medio,Sí,No,4,3,20,Sí,Desempleado/a,No,No,3,3,3,4,2,3,4,3,2,3,2,2,3,3,2,4,3.125,2.625,2.875,4,3,4,3,4,4,2,2,4,3,2,3,3,2,2,3,3,3,3.6666666666666665,2.6666666666666665,2.6666666666666665,3,2,2,2,2,2,3,3,2,2,2,3,3,3,3,2.2857142857142856,2.5714285714285716,2.4285714285714284,3,3,3,1,2,2,2,3,3,2,2,2,2.3333333333333335,2.3333333333333335,2.3333333333333335
SC-010,Mujer,63,Básica,Separado/a,4,RM,Voluntariado,22,Urbano,Bajo,Sí,No,4,4,2,No,Labores hogar,Sí,Sí,1,2,2,2,2,2,1,3,2,2,1,1,2,2,2,1,1.875,1.625,1.75,2,1,2,2,1,2,1,2,2,3,3,2,1,2,2,2,3,2,1.6666666666666667,2.1666666666666665,2,1.9444444444444444,3,2,2,4,3,3,2,1,2,4,3,2,2,2,2.7142857142857144,2.2857142857142856,2.5,3,2,3,2,2,4,3,3,2,4,3,3,2.6666666666666665,3,2.8333333333333335
